timestamp,health,osds,active,disk_usage(TiB),scrubbing,mons,runningtime,active_clean,date,time,date_time,rd_bw(KiB/s),wr_bw(KiB/s),rd_ops(op/s),wr_ops(op/s)
20240325-0600,HEALTH_WARN,"112 osds: 112 up (since 3w), 112 in (since 3M)",2 portals active (2 hosts),127,8,3,4,665,25-03-2024,06:00:00,25-03-2024 06:00,379,1.2,443,105
20240325-1200,HEALTH_WARN,"112 osds: 112 up (since 3w), 112 in (since 3M)",2 portals active (2 hosts),127,5,3,4,668,25-03-2024,12:00:00,25-03-2024 12:00,396,796,455,80
20240325-1800,HEALTH_WARN,"112 osds: 112 up (since 3w), 112 in (since 3M)",2 portals active (2 hosts),127,5,3,4,668,25-03-2024,18:00:00,25-03-2024 18:00,407,80,456,114
20240326-0000,HEALTH_WARN,"112 osds: 112 up (since 3w), 112 in (since 3M)",2 portals active (2 hosts),127,4,3,4,669,26-03-2024,00:00:00,26-03-2024 00:00,416,9.6,479,299
20240326-0600,HEALTH_WARN,"112 osds: 112 up (since 3w), 112 in (since 3M)",2 portals active (2 hosts),127,2,3,4,671,26-03-2024,06:00:00,26-03-2024 06:00,411,794,474,50
20240326-1200,HEALTH_WARN,"112 osds: 112 up (since 3w), 112 in (since 3M)",2 portals active (2 hosts),127,3,3,4,670,26-03-2024,12:00:00,26-03-2024 12:00,411,881,474,59
20240326-1800,HEALTH_WARN,"112 osds: 112 up (since 3w), 112 in (since 3M)",2 portals active (2 hosts),127,6,3,4,667,26-03-2024,18:00:00,26-03-2024 18:00,447,81,501,107
20240327-0000,HEALTH_WARN,"112 osds: 112 up (since 3w), 112 in (since 3M)",2 portals active (2 hosts),127,3,3,4,670,27-03-2024,00:00:00,27-03-2024 00:00,411,2.6,475,141
20240327-0600,HEALTH_WARN,"112 osds: 112 up (since 3w), 112 in (since 3M)",2 portals active (2 hosts),127,3,3,4,670,27-03-2024,06:00:00,27-03-2024 06:00,410,12,473,60
20240327-1200,HEALTH_WARN,"112 osds: 112 up (since 3w), 112 in (since 3M)",2 portals active (2 hosts),127,6,3,4,667,27-03-2024,12:00:00,27-03-2024 12:00,309,488,355,35
20240327-1800,HEALTH_WARN,"112 osds: 112 up (since 3w), 112 in (since 3M)",2 portals active (2 hosts),127,1,3,4,672,27-03-2024,18:00:00,27-03-2024 18:00,397,21,445,94
20240328-0000,HEALTH_WARN,"112 osds: 112 up (since 3w), 112 in (since 3M)",2 portals active (2 hosts),127,3,3,4,670,28-03-2024,00:00:00,28-03-2024 00:00,1.1,7.3,512,202
20240328-0600,HEALTH_WARN,"112 osds: 112 up (since 3w), 112 in (since 3M)",2 portals active (2 hosts),127,7,3,4,666,28-03-2024,06:00:00,28-03-2024 06:00,314,541,363,47
20240328-1200,HEALTH_WARN,"112 osds: 112 up (since 3w), 112 in (since 3M)",2 portals active (2 hosts),127,3,3,4,670,28-03-2024,12:00:00,28-03-2024 12:00,209,2.8,245,66
20240328-1800,HEALTH_WARN,"112 osds: 112 up (since 4w), 112 in (since 3M)",2 portals active (2 hosts),127,1,3,4,672,28-03-2024,18:00:00,28-03-2024 18:00,267,37,285,62
20240329-0000,HEALTH_WARN,"112 osds: 112 up (since 4w), 112 in (since 3M)",2 portals active (2 hosts),127,3,3,4,670,29-03-2024,00:00:00,29-03-2024 00:00,324,5.7,299,233
20240329-0600,HEALTH_WARN,"112 osds: 112 up (since 4w), 112 in (since 3M)",2 portals active (2 hosts),127,10,3,4,663,29-03-2024,06:00:00,29-03-2024 06:00,276,524,312,40
20240329-1200,HEALTH_WARN,"112 osds: 112 up (since 4w), 112 in (since 3M)",2 portals active (2 hosts),127,7,3,5,666,29-03-2024,12:00:00,29-03-2024 12:00,554,1.4,259,58
20240329-1800,HEALTH_WARN,"112 osds: 112 up (since 4w), 112 in (since 3M)",2 portals active (2 hosts),127,4,3,5,669,29-03-2024,18:00:00,29-03-2024 18:00,341,38,373,69
